service_request_id,status_description,source,requested_datetime,closed_date,coordinates,lat,long,address,district
369897,Acknowledged,Mobile,2018-07-24T14:30:00,,32.761786-117.064561,32.761786,-117.064561,"6165 El Cajon Blvd, San Diego, CA 92115, USA",9
369874,Acknowledged,Web,2018-07-24T13:54:00,,32.9021982-117.12410439999996,32.9021982,-117.1241044,"10182 Black Mountain Road, San Diego, CA, USA",6
369855,Acknowledged,Web,2018-07-24T13:46:00,,32.8276621-117.08455520000001,32.8276621,-117.0845552,"Promesa Drive, San Diego, CA, USA",7
369821,Acknowledged,Phone,2018-07-24T13:21:00,,32.8337499179101-117.15314036047113,32.83374992,-117.1531404,"CONVOY ST & CONVOY CT,, 92111",6
369820,Acknowledged,Phone,2018-07-24T13:18:00,,32.840281572541556-117.16752327494184,32.84028157,-117.1675233,"RUFFNER ST & COPLEY PARK PL,, 92111",6
369751,Acknowledged,Mobile,2018-07-24T12:40:00,,32.792191-117.245901,32.792191,-117.245901,"1242 Parker Pl, San Diego, CA 92109, USA",2
369692,Acknowledged,Phone,2018-07-24T11:17:00,,32.71233903842533-117.02442157393921,32.71233904,-117.0244216,"CARDIFF ST & SAN VICENTE ST,, 92114",4
369645,Acknowledged,Web,2018-07-24T10:43:00,,32.7012733-117.11269849999996,32.7012733,-117.1126985,"Ocean View Boulevard, San Diego, CA, USA",9
369530,Acknowledged,Mobile,2018-07-24T08:39:00,,32.809263-117.220656,32.809263,-117.220656,"2713 Bluffside Ave, San Diego, CA 92109, USA",2
369501,Acknowledged,Web,2018-07-24T08:01:00,,32.56060066684165-116.97959928436279,32.56060067,-116.9795993,"6137 Airway Rd, San Diego, CA 92154, USA",8
369458,Duplicate,Mobile,2018-07-24T06:17:00,,32.75600415759564-117.2212638462942,32.75600416,-117.2212638,4030 Sports Arena Blvd,2
369421,Acknowledged,Web,2018-07-23T22:18:00,,32.814955-117.2164573,32.814955,-117.2164573,"4062 Avati Drive, San Diego, CA, USA",2
369419,Acknowledged,Web,2018-07-23T22:08:00,,32.75607593021202-117.22140579147339,32.75607593,-117.2214058,"4004 Sports Arena Blvd, San Diego, CA 92110, USA",2
369391,Acknowledged,Web,2018-07-23T20:34:00,,32.7838003-117.16630069999997,32.7838003,-117.1663007,"2164 Garston Street, San Diego, CA, USA",7
369390,Acknowledged,Web,2018-07-23T20:33:00,,32.57099784539391-117.09728226452637,32.57099785,-117.0972823,"1660 Hermes St, San Diego, CA 92154, USA",8
369371,Acknowledged,Web,2018-07-23T19:13:00,,32.75832453556268-117.14032438281778,32.75832454,-117.1403244,"4452 Louisiana St, San Diego, CA 92116, USA",3
369370,Closed,Web,2018-07-23T19:12:00,2018-07-26T09:14:00,32.7459766-117.11253970000001,32.7459766,-117.1125397,"Landis Street, San Diego, CA, USA",9
369339,Closed,Phone,2018-07-23T18:21:00,,32.754881611338895-117.08400345450062,32.75488161,-117.0840035,"5100 TROJAN AV, 92115",9
369276,Acknowledged,Phone,2018-07-23T16:25:00,,32.87871491094009-117.2438877982483,32.87871491,-117.2438878,"NORTH TORREY PINES RD & ALMAHURST RW,, 92037",1
369265,Acknowledged,Mobile,2018-07-23T16:06:00,,32.71164-117.132047,32.71164,-117.132047,"520 29th St, San Diego, CA 92102, USA",8
369207,Closed,Web,2018-07-23T14:18:00,,32.8319447-117.08187279999999,32.8319447,-117.0818728,"4959 Montessa Street, San Diego, CA 92124, USA",7
369183,Closed,Mobile,2018-07-23T13:51:00,2018-07-26T09:25:00,32.734006-117.099759,32.734006,-117.099759,"2631 44th St, San Diego, CA 92105, USA",9
369181,Closed,Mobile,2018-07-23T13:50:00,2018-07-26T09:21:00,32.734726-117.099775,32.734726,-117.099775,"2718 44th St, San Diego, CA 92105, USA",9
369033,Closed,Phone,2018-07-23T11:06:00,2018-07-23T11:23:00,33.02739443227217-117.06741565810577,33.02739443,-117.0674157,"17402 FRANCISCO DR, 92128",5
369029,Closed,Web,2018-07-23T11:02:00,2018-07-25T10:42:00,32.7893518-117.09558319999996,32.7893518,-117.0955832,"6341 Holabird Street, San Diego, CA, USA",7
368926,Closed,Web,2018-07-23T09:16:00,2018-07-26T06:26:00,32.9373013-117.10158490000003,32.9373013,-117.1015849,"10531 Scripps Poway Pkwy, San Diego, CA, USA",5
368838,Acknowledged,Phone,2018-07-23T06:47:00,,32.799739989736096-117.23185554224128,32.79973999,-117.2318555,"GRAND AV & NOYES ST,, 92109",2
368825,Acknowledged,Web,2018-07-23T03:34:00,,32.6671751-117.06207870000003,32.6671751,-117.0620787,"2971 Morningside Street, San Diego, CA, USA",4
368824,Closed,Web,2018-07-23T03:24:00,2018-07-27T10:01:00,32.71270048219648-117.13373156137698,32.71270048,-117.1337316,"651 28th St, San Diego, CA 92102, USA",8
368796,Acknowledged,Mobile,2018-07-22T21:21:00,,32.78112-117.2061833333333,32.78112,-117.2061833,1927 Chicago St,2
368775,Closed,Web,2018-07-22T19:34:00,2018-07-25T11:18:00,32.7539615-117.0918778,32.7539615,-117.0918778,"4247 Euclid Ave, San Diego, CA 92115, USA",9
368742,Closed,Mobile,2018-07-22T17:22:00,2018-07-25T10:55:00,32.915562-117.078995,32.915562,-117.078995,"10458 Scripps Trail, San Diego, CA 92131, USA",5
368738,Closed - Referred,Web,2018-07-22T17:12:00,,32.89370506838496-117.21295366603698,32.89370507,-117.2129537,"Jacob Dekema Freeway, San Diego, CA 92121, USA",1
368737,Closed - Referred,Web,2018-07-22T17:07:00,,32.87694995878858-117.1994564015938,32.87694996,-117.1994564,"Miramar Rd & I-805, San Diego, CA 92121, USA",1
368732,Acknowledged,Mobile,2018-07-22T16:59:00,,32.75478201596582-117.2058872079593,32.75478202,-117.2058872,3230-3298 Hancock St,2
368719,Closed,Phone,2018-07-22T16:09:00,2018-07-27T08:50:00,32.715844139079884-117.13378712814551,32.71584414,-117.1337871,"2828 BROADWAY, 92102",3
368718,Acknowledged,Phone,2018-07-22T16:08:00,,32.71583058259512-117.13605960050369,32.71583058,-117.1360596,"28TH ST & BROADWAY,, 92102",3
368681,Closed,Mobile,2018-07-22T13:49:00,2018-07-27T10:03:00,32.712799-117.126486,32.712799,-117.126486,"3146 G St, San Diego, CA 92102, USA",8
368679,Acknowledged,Web,2018-07-22T13:42:00,,32.71806470732104-117.13963294603275,32.71806471,-117.1396329,"2525 B St, San Diego, CA 92102, USA",3
368659,Closed,Web,2018-07-22T12:44:00,2018-07-26T07:33:00,32.8004634-117.02417200000002,32.8004634,-117.024172,"7982 Beaver Lake Drive, San Diego, CA, USA",7
368652,Closed,Web,2018-07-22T12:39:00,2018-07-26T07:33:00,32.800493-117.02394520000001,32.800493,-117.0239452,"8002 Beaver Lake Drive, San Diego, CA, USA",7
368607,Acknowledged,Web,2018-07-22T11:14:00,,32.822842-117.19554099999999,32.822842,-117.195541,"Mount Henry Avenue, San Diego, CA, USA",6
368594,Closed,Mobile,2018-07-22T10:36:00,,32.729223-117.147518,32.729223,-117.147518,"2200 Park Blvd, San Diego, CA 92101, USA",3
368587,Closed,Mobile,2018-07-22T10:01:00,2018-07-27T08:48:00,32.71575068121457-117.1367224063104,32.71575068,-117.1367224,2675 Broadway,3
368580,Acknowledged,Mobile,2018-07-22T09:48:00,,32.861181-117.229334,32.861181,-117.229334,"7560 Charmant Dr, San Diego, CA 92122, USA",1
368488,Duplicate,Mobile,2018-07-21T19:04:00,,32.82546233388858-117.2062834819008,32.82546233,-117.2062835,4530 Clairemont Dr,2
368446,Closed - Referred,Mobile,2018-07-21T15:32:00,,32.83595878346862-117.2345424050938,32.83595878,-117.2345424,I-5 S,1
368435,Closed,Mobile,2018-07-21T14:58:00,,32.80941215071861-117.2201805318371,32.80941215,-117.2201805,2723-2799 Bluffside Ave,2
368433,Acknowledged,Web,2018-07-21T14:43:00,,32.83236668851394-117.1450808517456,32.83236669,-117.1450809,"8333 Clairemont Mesa Blvd, San Diego, CA 92111, USA",6
368383,Acknowledged,Web,2018-07-21T12:13:00,,32.80892455197673-117.21945314331054,32.80892455,-117.2194531,"4801 Mission Bay Dr, San Diego, CA 92109, USA",2
368379,Acknowledged,Web,2018-07-21T12:08:00,,32.831320940421826-117.13259248657226,32.83132094,-117.1325925,"9101 Clairemont Mesa Blvd, San Diego, CA 92123, USA",6
368364,Closed - Referred,Mobile,2018-07-21T11:25:00,,32.834504-117.233506,32.834504,-117.233506,"San Diego Freeway & El Camino Real, San Diego, CA 92109, USA",1
368347,Closed - Referred,Mobile,2018-07-21T10:37:00,,32.834976-117.233966,32.834976,-117.233966,"San Diego Freeway & El Camino Real, La Jolla, CA 92037, USA",1
368335,Acknowledged,Mobile,2018-07-21T10:19:00,,32.813463-117.167101,32.813463,-117.167101,"7101 Salizar St, San Diego, CA 92111, USA",6
368293,Closed,Web,2018-07-21T08:13:00,2018-07-25T10:24:00,32.791384869964986-117.1447236423279,32.79138487,-117.1447236,"2561 Murray Ridge Rd, San Diego, CA 92123, USA",7
368291,Closed,Web,2018-07-21T08:11:00,2018-07-21T10:15:00,32.79150211916363-117.14566241548311,32.79150212,-117.1456624,"8692 Chantilly Ave, San Diego, CA 92123, USA",7
368220,Acknowledged,Mobile,2018-07-20T20:00:00,,32.83139080766567-117.1266365994467,32.83139081,-117.1266366,9401-9415 Clairemont Mesa Blvd,6
368217,Acknowledged,Mobile,2018-07-20T19:47:00,,32.81612275880552-117.215944024311,32.81612276,-117.215944,4101-4215 Avati Dr,2
368155,Closed,Web,2018-07-20T16:26:00,2018-07-23T11:08:00,32.90550240856857-117.14621810836786,32.90550241,-117.1462181,"10300 Camino Ruiz, San Diego, CA 92126, USA",6
368089,Acknowledged,Web,2018-07-20T15:10:00,,32.6972558-117.02653279999998,32.6972558,-117.0265328,"Paradise Valley Rd & Meadowbrook Dr, San Diego, CA, USA",4
368015,Acknowledged,Web,2018-07-20T13:53:00,,32.8248672-117.19989340000001,32.8248672,-117.1998934,"4473 Donald Avenue, San Diego, CA 92117, USA",6
367868,Acknowledged,Mobile,2018-07-20T11:25:00,,32.718208-117.025171,32.718208,-117.025171,"8515 Jamacha Rd, San Diego, CA 92114, USA",4
367841,Acknowledged,Web,2018-07-20T10:59:00,,32.8689074-117.24880940000003,32.8689074,-117.2488094,"Discovery Way, La Jolla Shores, CA, USA",1
367816,Acknowledged,Web,2018-07-20T10:27:00,,32.8259058-117.25808540000003,32.8259058,-117.2580854,"1540 La Jolla Rancho Road, La Jolla, CA, USA",1
367807,Acknowledged,Mobile,2018-07-20T10:20:00,,32.737849-117.079803,32.737849,-117.079803,"3104 54th Frontage St, San Diego, CA 92105, USA",4
367802,Duplicate,Phone,2018-07-20T10:03:00,,32.759298537554265-117.1883518457707,32.75929854,-117.1883518,"TAYLOR ST, 92110",7
367775,Closed,Web,2018-07-20T09:36:00,2018-07-26T06:56:00,32.8165957-117.17562809999998,32.8165957,-117.1756281,"3980 Mt Abraham Ave, San Diego, CA, USA",6
367765,Closed,Mobile,2018-07-20T09:29:00,2018-07-26T07:26:00,32.70121333333334-117.1187055,32.70121333,-117.1187055,3541 Ocean View Blvd,9
367739,Closed,Web,2018-07-20T09:16:00,2018-07-25T10:52:00,33.01953691737917-117.06935672683716,33.01953692,-117.0693567,"16915 Dominican Dr, San Diego, CA 92128, USA",5
367723,Acknowledged,Phone,2018-07-20T09:03:00,,32.7354433084867-117.0716418275472,32.73544331,-117.0716418,2781 Caminito Chollas,4
367710,Closed,Web,2018-07-20T08:48:00,2018-07-23T07:36:00,32.72298706469788-117.16738374110451,32.72298706,-117.1673837,"1701 Columbia St, San Diego, CA 92101, USA",3
367697,Acknowledged,Phone,2018-07-20T08:28:00,,32.737059774935254-117.08670111640456,32.73705977,-117.0867011,"5007 CHOLLAS PKY, 92105",4
367670,Closed,Mobile,2018-07-20T08:05:00,2018-07-26T07:01:00,32.809007-117.119146,32.809007,-117.119146,"3606 Ruffin Rd, San Diego, CA 92123, USA",6
367659,Closed,Email,2018-07-20T07:52:00,,32.79296449805319-117.25328954233099,32.7929645,-117.2532895,"890 REED AV, 92109",2
367623,Closed,Mobile,2018-07-20T06:26:00,2018-07-27T09:10:00,32.771688-117.09685,32.771688,-117.09685,"5179 Fairmount Ave, San Diego, CA 92116, USA",9
367543,Closed,Mobile,2018-07-19T19:00:00,,32.73704925443545-117.1550988176229,32.73704925,-117.1550988,3000-3084 Richmond St,3
367522,Closed,Mobile,2018-07-19T18:19:00,2018-07-27T09:08:00,32.775655-117.09902,32.775655,-117.09902,"5100 Fairmount Ave, San Diego, CA 92116, USA",9
367516,Closed,Mobile,2018-07-19T18:09:00,2018-07-24T07:28:00,32.911575-117.231131,32.911575,-117.231131,"11525 Sorrento Valley Rd, San Diego, CA 92121, USA",1
367507,Closed,Web,2018-07-19T17:44:00,2018-07-26T07:45:00,32.76228031169991-117.09737216535075,32.76228031,-117.0973722,"4511 Aldine Dr, San Diego, CA 92115, USA",9
367484,Closed,Phone,2018-07-19T16:49:00,2018-07-27T09:22:00,32.700142363473496-117.13449113820491,32.70014236,-117.1344911,"S 28TH ST & HARRISON AV,, 92113",8
367481,Duplicate,Mobile,2018-07-19T16:33:00,,32.76676974402675-117.096810399504,32.76676974,-117.0968104,4823-4899 Fairmount Ave,9
367468,Closed,Phone,2018-07-19T16:03:00,2018-07-24T08:10:00,33.003652882616095-117.08768416431887,33.00365288,-117.0876842,"15393 MATURIN DR, 92127",5
367445,Acknowledged,Mobile,2018-07-19T15:08:00,,32.71043-117.027328,32.71043,-117.027328,"567 Sears Ave, San Diego, CA 92114, USA",4
367436,Closed,Web,2018-07-19T14:48:00,2018-07-26T07:33:00,32.7219573-117.22994240000003,32.7219573,-117.2299424,"2900 Shelter Island Drive, San Diego, CA, USA",2
367435,Duplicate,Web,2018-07-19T14:48:00,,32.7913245-117.16298519999998,32.7913245,-117.1629852,"2599 Genesee Avenue, San Diego, CA, USA",7
367399,Closed,Phone,2018-07-19T13:57:00,2018-07-27T09:55:00,32.706328727345486-117.14232431530444,32.70632873,-117.1423243,"25TH ST & IMPERIAL AV,, 92102",8
367386,Closed,Web,2018-07-19T13:46:00,2018-07-27T08:46:00,32.7369515-117.12959490000003,32.7369515,-117.1295949,"3026 South 30th Street, San Diego, CA, USA",3
367261,Closed,Phone,2018-07-19T12:21:00,2018-07-23T11:08:00,32.905483018649115-117.14613445200673,32.90548302,-117.1461345,"CAMINO RUIZ & GOLD COAST DR,, 92126",6
367260,Closed,Mobile,2018-07-19T12:18:00,2018-07-27T08:58:00,32.73650220798564-117.175324336653,32.73650221,-117.1753243,3200-3216 India St,3
367217,Duplicate,Web,2018-07-19T11:47:00,,32.80070008762102-117.0513104604492,32.80070009,-117.0513105,"6001 Navajo Rd, San Diego, CA 92120, USA",7
367192,Duplicate,Web,2018-07-19T11:24:00,,32.800267211514175-117.05543033349608,32.80026721,-117.0554303,"6001 Navajo Rd, San Diego, CA 92120, USA",7
